MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,
2,KICK-OFF,VALLE,3,TECNICA,REGULAR ,NO,I
10,ERROR TACTICO,ATLANTICO,4,TACTICA,MALO,NO,
12,ERROR DE MANOS ,VALLE,7,TECNICA,MALO ,NO,
33,SCRUM,ATLANTICO,1,REGLAMENTO,MALO ,NO,
51,FREE-KICK,VALLE,4,REGLAMENTO,BUENO,SI,
106,TRY,VALLE,7,TACTICA,BUENO,SI,
110,CONVERSIÓN,VALLE,4,TECNICA,MALO ,SI,
140,KICK-OFF,VALLE,1,TACTICA,MALO ,SI,I
214,KNOCK-ON,ATLANTICO,2,FISICO ,MALO ,SI,
223,SCRUM,VALLE,4,REGLAMENTO,MALO ,NO,
242,FREE-KICK,ATLANTICO,4,TACTICA,BUENO,NO,
245,JUEGO RAPIDO ,ATLANTICO,2,TACTICA,REGULAR,NO,
301,DUELO ,ATLANTICO,6,TECNICA,BUENO,NO,
310,TRY,ATLANTICO,6,TACTICA,BUENO,SI,
328,CONVERSIÓN,ATLANTICO,4,TECNICA,BUENO,NO,
350,KICK-OFF,ATLANTICO,4,TACTICA,BUENO,NO,I
411,KNOCK-ON,ATLANTICO,7,TECNICA,MALO ,NO,
412,LINE OUT,VALLE,4,REGLAMENTO,MALO ,NO,
437,PENAL,VALLE,2,REGLAMENTO,MALO ,NO,
441,JUEGO RAPIDO ,ATLANTICO,2,TACTICA,REGULAR,NO,
510,COMPLETA ,ATLANTICO,7,TACTICA,BUENO,SI,
512,ERROR TACTICO,VALLE,6,TACTICA,MALO ,NO,
514,TRY,ATLANTICO,6,TACTICA,REGULAR,SI,
520,CONVERSIÓN,ATLANTICO,4,TECNICA,MALO ,SI,
608,KICK-OFF,ATLANTICO,2,TACTICA,REGULAR,NO,I
613,ERROR TACTICO,VALLE,5,COMUNICACION ,MALO ,NO,
628,COMPLETA ,VALLE,7,TACTICA,BUENO,NO,
640,KNOCK-ON,VALLE,5,TECNICA,MALO ,NO,
,,,,,,,
1,KICK-OFF,ATLANTICO,2,TACTICA,REGULAR,NO,D
13,ERROR DE MANOS ,VALLE,5,TECNICA,MALO ,SI,
20,LINE OUT,ATLANTICO,4,TACTICA,MALO ,NO,
43,ERROR DE MANOS ,ATLANTICO,4,TECNICA,MALO ,NO,
48,PENAL,VALLE,6,TECNICA,MALO ,SI,
49,JUEGO RAPIDO ,ATLANTICO,6,TACTICA,REGULAR,NO,
104,COMPLETA ,ATLANTICO,7,TACTICA,BUENO,NO,
120,ERROR DE MANOS ,ATLANTICO,5,TECNICA,MALO ,NO,
142,PENAL,VALLE,5,REGLAMENTO,REGULAR,SI,
151,JUEGO RAPIDO ,ATLANTICO,5,TACTICA,BUENO,NO,
205,VUELTA,ATLANTICO,3,TACTICA,REGULAR,SI,
210,TRY,ATLANTICO,6,TACTICA,BUENO,SI,
228,CONVERSIÓN,ATLANTICO,4,TECNICA,MALO ,SI,
255,KICK-OFF,ATLANTICO,1,TACTICA,REGULAR,NO,D
308,COMPLETA ,VALLE,7,TACTICA,BUENO,NO,
317,ERROR DE MANOS ,VALLE,5,TECNICA,MALO ,NO,
330,QUIEBRE,VALLE,5,TACTICA,BUENO,SI,
348,TRY,VALLE,6,TACTICA,BUENO,SI,
410,CONVERSIÓN,VALLE,5,TECNICA,BUENO,NO,
458,KICK-OFF,VALLE,4,TECNICA,MALO ,SI,I
510,SCRUM,ATLANTICO,4,TECNICA,MALO ,NO,
600,KNOCK-ON,VALLE,7,TECNICA,MALO ,SI,
610,SCRUM,ATLANTICO,4,TACTICA,REGULAR,SI,
622,PENAL,VALLE,1,FISICO ,MALO ,SI,
630,SCRUM,ATLANTICO,2,TACTICA,MALO ,SI,
703,ERROR DE MANOS ,ATLANTICO,4,TECNICA,MALO ,SI,
,,,,,,,
MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,
1,KICK-OFF,BOLIVAR ,2,TECNICA,REGULAR,SI,I
20,ERROR TACTICO,NORTE,5,COMUNICACION ,MALO ,NO,
