MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,,
1,KICK-OFF,ATLANTICO,1,TECNICA,REGULAR,NO,,
20,KNOCK-ON,ANTIOQUIA,6,FISICO ,MALO ,SI,,
30,SCRUM,ATLANTICO,1,TECNICA,MALO ,SI,,
135,COMPLETA ,ATLANTICO,7,TACTICA,BUENO,NO,,
138,VUELTA,ATLANTICO,4,TACTICA,MALO ,NO,,
144,ERROR DE MANOS ,ATLANTICO,5,TECNICA,MALO ,NO,,
150,PENAL,ANTIOQUIA,5,REGLAMENTO,MALO ,NO,,
210,SCRUM,ATLANTICO,1,TECNICA,MALO ,SI,,
227,PENAL,ATLANTICO,1,TECNICA,MALO ,SI,,
230,JUEGO RAPIDO ,ANTIOQUIA,4,TACTICA,REGULAR,NO,,
241,ERROR DE MANOS ,ANTIOQUIA,4,TECNICA,MALO ,NO,,
246,PENAL,ATLANTICO,4,REGLAMENTO,MALO ,SI,,
247,JUEGO RAPIDO ,ANTIOQUIA,4,TACTICA,REGULAR,NO,,
251,VUELTA,ANTIOQUIA,4,TACTICA,MALO ,NO,,
256,DUELO ,ANTIOQUIA,4,FISICO ,BUENO,SI,,
310,TRY,ANTIOQUIA,5,TACTICA,BUENO,SI,,
312,CONVERSION,ANTIOQUIA,4,TECNICA,BUENO,NO,,
340,KICK-OFF,ANTIOQUIA,1,TECNICA,BUENO,SI,,
350,VUELTA,ANTIOQUIA,5,TACTICA,MALO ,NO,,
400,TRY,ANTIOQUIA,7,FISICO ,BUENO,SI,,
420,CONVERSION,ANTIOQUIA,4,TECNICA,MALO ,SI,,
440,KICK-OFF,ANTIOQUIA,4,TECNICA,MALO ,NO,,
456,ERROR DE MANOS ,ATLANTICO,1,TECNICA,MALO ,SI,,
501,LINE OUT,ANTIOQUIA,2,TECNICA,MALO ,NO,,
520,ERROR DE MANOS ,ANTIOQUIA,4,TECNICA,MALO ,NO,,
525,ERROR DE MANOS ,ATLANTICO,4,TECNICA,MALO ,NO,,
530,KNOCK-ON,ATLANTICO,7,TECNICA,MALO ,SI,,
550,SCRUM,ANTIOQUIA,1,TECNICA,BUENO,NO,,
602,PENAL,ANTIOQUIA,2,TACTICA,MALO ,SI,,
615,SCRUM,ATLANTICO,1,TECNICA,BUENO,SI,,
633,FREE-KICK,ATLANTICO,1,REGLAMENTO,NA,NO,,
640,JUEGO RAPIDO ,ATLANTICO,7,TECNICA,BUENO,NO,,
648,COMPLETA ,ATLANTICO,7,TACTICA,BUENO,SI,,
1,KICK-OFF,ANTIOQUIA,1,TECNICA,BUENO,NO,,
17,VUELTA,ATLANTICO,3,TACTICA,MALO ,NO,,
20,PENAL,ATLANTICO,2,FISICO ,MALO ,NO,,
22,JUEGO RAPIDO ,ANTIOQUIA,6,TACTICA,BUENO,NO,,
34,COMPLETA ,ANTIOQUIA,7,TACTICA,BUENO,SI,,
36,PASS-FORWARD,ANTIOQUIA,6,TECNICA,MALO ,NO,,
100,SCRUM,ATLANTICO,4,TECNICA,MALO ,SI,,
115,TRY,ANTIOQUIA,6,TECNICA,BUENO,SI,,
140,CONVERSION,ANTIOQUIA,7,TECNICA,BUENO,NO,,
205,KICK-OFF,ANTIOQUIA,3,TECNICA,BUENO,SI,,
215,PASS-FORWARD,ATLANTICO,6,TECNICA,MALO ,SI,,
230,SCRUM,ANTIOQUIA,4,TECNICA,BUENO,NO,,
248,COMPLETA ,ANTIOQUIA,7,TACTICA,BUENO,NO,,
250,TRY,ANTIOQUIA,7,TACTICA,BUENO,SI,,
300,CONVERSION,ANTIOQUIA,4,TECNICA,MALO ,SI,,
322,KICK-OFF,ANTIOQUIA,3,TECNICA,BUENO,NO,,
352,MAUL,ATLANTICO,1,TACTICA,MALO ,SI,,
410,SCRUM,ANTIOQUIA,4,TECNICA,BUENO,NO,,
432,PENAL,ATLANTICO,4,FISICO ,MALO ,SI,,
435,JUEGO RAPIDO ,ANTIOQUIA,4,TACTICA,BUENO,SI,,
437,TRY,ANTIOQUIA,5,TACTICA,BUENO,NO,,
440,CONVERSION,ANTIOQUIA,4,TECNICA,BUENO,NO,,
510,KICK-OFF,ANTIOQUIA,4,TACTICA,BUENO,NO,,
522,LINE OUT,ATLANTICO,2,TACTICA,MALO ,NO,,
544,ERROR DE MANOS ,ATLANTICO,4,TECNICA,MALO ,NO,,
556,COMPLETA ,ANTIOQUIA,7,TACTICA,BUENO,NO,,
