MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,lado 
9,KICK-OFF,META,2,DESICION ,REGULAR ,,D
17,ERROR DE MANOS ,SANTANDER ,5,TECNICA,MALO,NO,
36,PASE ,META,4,DESICION ,MALO,NO,
43,PENAL,SANTANDER ,4,TACTICA,MALO,NO,
56,JUEGO RAPIDO ,META ,4,DESICION ,MALO,NO,
106,PENAL,META,6,REGLAMENTO,MALO,NO,
123,JUEGO AL PIE ,SANTANDER ,5,TECNICA,REGULAR ,NO,
150,ERROR DE MANOS ,SANTANDER ,2,TECNICA,MALO,NO,
154,PENAL,SANTANDER ,4,TECNICA,MALO,NO,
156,JUEGO RAPIDO ,META,6,TACTICA,REGULAR ,NO,
205,JUEGO AL PIE ,META,7,DESICION ,MALO,NO,
210,JUEGO AL PIE ,SANTANDER ,5,TECNICA,MALO,NO,
221,KNOCK-ON,META,4,TECNICA,MALO,SI,
259,KNOCK-ON,SANTANDER ,4,TECNICA,MALO,NO,
332,PENAL,SANTANDER ,1,TECNICA,MALO,NO,
334,JUEGO RAPIDO ,META,4,TACTICA,REGULAR ,NO,
348,KNOCK-ON,META,7,REGLAMENTO,MALO ,SI,
351,JUEGO RAPIDO ,META,4,DESICION ,,,
401,JUEGO AL PIE ,META,4,TECNICA,MALO,NO,
402,KNOCK-ON,META,4,TECNICA,MALO,NO,
429,PENAL,SANTANDER ,4,REGLAMENTO,BUENO,NO,
444,DUELO ,SANTANDER ,4,TECNICA,MALO,NO,
451,ERROR DE MANOS ,SANTANDER ,6,TECNICA,MALO,NO,
455,PENAL,SANTANDER ,5,REGLAMENTO,MALO,NO,
458,JUEGO RAPIDO ,META,4,DESICION ,REGULAR,NO,
524,PENAL,SANTANDER ,7,FISICO ,MALO,NO,
526,JUEGO RAPIDO ,META,6,DESICION ,MALO,NO,
542,PENAL,META,7,REGLAMENTO ,MALO,NO ,
558,SCRUM,META,4,DESICION ,BUENO ,NO,
730,PENAL ,SANTANDER ,3,FISICO ,MALO ,NO,
734,TRY,META,4,DESICION ,BUENO ,SI,
735,CONVERSION ,META,4,TECNICA,MALO,NO,
12,KICK-OFF,META,-,TECNICA,MALO,NO,I
20,FREE-KICK,SANTANDER ,4,DESICION,REGULAR,SI,
38,PENAL,SANTANDER ,6,TECNICA,MALO,NO,
105,SCRUM,META,4,DESICION ,REGULAR,NO,
117,ERROR TACTICO,SANTANDER ,2,TECNICA,MALO,NO,
119,JUEGO RAPIDO ,META,4,DESICION ,REGULAR ,NO ,
123,ERROR DE MANOS ,META,4,TECNICA,MALO,SI,
135,ERROR DE MANOS ,META,3,TECNICA,MALO,NO,
141,DUELO,META,5,DESICION ,BUENO,SI,
150,DUELO,META,4,DESICION ,MALO,SI,
221,ERROR DE MANOS ,SANTANDER ,4,TECNICA,MALO,NO,
240,PENAL,META,2,TECNICA,MALO,NO,
246,DUELO,SANTANDER ,5,DESICION,MALO,NO,
255,DUELO,SANTANDER ,6,DESICION ,BUENO,NO,
256,DUELO ,SANTANDER ,6,DESICION,BUENO,NO,
257,DUELO ,SANTANDER ,6,DESICION,BUENO,NO,
310,TRY,SANTANDER ,7,DESICION,BUENO,SI,
406,CONVERSION,SANTANDER ,4,TACTICA,MALO,SI,
415,KICK-OFF,SANTANDER ,2,TECNICA,MALO ,NO,
430,JUEGO AL PIE,META,4,TACTICA,MALO,NO,
510,JUEGO RAPIDO ,META,5,DESICION ,BUENO ,NO,
511,TRY,META,5,TACTICA,BUENO,SI,
544,CONVERSION,META,4,TACTICA,BUENO,NO,
610,KICK-OFF,META,1,TACTICA,REGULAR,NO,D
630,JUEGO AL PIE ,SANTANDER ,4,TECNICA,MALO,NO,
705,ERROR DE MANOS ,META,4,TECNICA,MALO,NO,
716,PENAL,SANTANDER ,6,REGLAMENTO,MALO,NO,
741,SCRUM,META,4,DESICION ,BUENO,NO,
750,FREE-KICK,META,4,DESICION ,BUENO,NO,
,,,,,,,
MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,
1,JUEGO AL PIE ,BOGOTA,3,TECNICA,REGULAR,NO,I
30,VUELTA,RISALDA,4,DESICION,BUENO,SI,
32,ERROR DE MANOS ,RISALDA,5,TECNICA,MALO,SI,
54,ERROR DE MANOS ,RISALDA,5,TECNICA,MALO,NO,
139,DUELO ,BOGOTA,6,FISICO,BUENO,NO,
140,DUELO ,BOGOTA,7,FISICO,BUENO ,NO ,
153,TRY,BOGOTA,2,DESICION,BUENO,SI,
206,CONVERSION,BOGOTA,5,TECNICA,BUENO,NO,
246,KICK-OFF,BOGOTA,2,TECNICA ,BUENO ,SI,I
251,ERROR DE MANOS ,RISALDA,7,TECNICA,MALO,SI,
300,PENAL,RISALDA,5,TECNICA ,MALO ,NO,
305,JUEGO RAPIDO ,BOGOTA,5,DESICION,REGULAR,NO,
311,VUELTA,BOGOTA,4,DESICION,REGULAR,NO ,
336,JUEGO RAPIDO ,BOGOTA,4,DESICION,REGULAR,NO,
347,DUELO ,BOGOTA,6,FISICO ,BUENO,SI,
